district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Sunam,Punjab Region,30.14047,75.82603,null,null,null,null,null,null
Morak,Rajasthan,25.22631,75.87898,null,null,null,null,null,null
Madhuban,Bihar,26.44106,85.13474,null,null,null,null,null,null
Baghpat,Uttar Pradesh,28.9428,77.22081,null,null,5.2,80.9,12.6,53.3
Kotha Peta,Andhra Pradesh,16.29849,80.45448,null,null,null,null,null,null
Hailakandi,Assam,24.76266,92.79572,null,null,8.6,83.0,12.8,61.4
Ranga Reddy,Telangana,17.38544,78.33612,null,null,4.8,97.2,57.8,53.2
Medchal,Telangana,17.63913,78.48434,null,null,null,null,null,null
Thoppumpady,Kerala,9.93129,76.26469,null,null,null,null,null,null
Trilanga,Madhya Pradesh,23.19186,77.43281,null,null,null,null,null,null
Kilnathur,Tiruvannamalai,12.23612,79.07326,null,null,null,null,null,null
Pimpri Chinchwad,Maharashtra,18.62688,73.80434,null,null,null,null,null,null
Dehradun,U.k.,30.33648,78.05304,null,null,null,null,null,null
Paonta Sahib,Himachal Pradesh,30.44005,77.61494,null,null,null,null,null,null
Panvel,Navi Mumbai,20.748,78.59842,null,null,null,null,null,null
Teliamura,West Tripura,23.84033,91.634,null,null,null,null,null,null
Bhubaneswar,Orissa,20.31567,85.81685,null,null,null,null,null,null
Tenali,Andhra Pradesh,16.24192,80.64594,null,null,null,null,null,null
Bhutnal,Bijapur-karnataka,16.87456,75.72032,null,null,null,null,null,null
Vrindavan Subcity,Uttar Pradesh,27.56098,77.66719,null,null,null,null,null,null
Vasco Da Gama,Goa,15.3975,73.82942,null,null,null,null,null,null
Shahpura,Rajasthan,25.61496,74.91789,null,null,null,null,null,null
Darbe,Karnataka,12.75081,75.21436,null,null,null,null,null,null
Dalli Rajhara,Chhattisgarh,20.5823,81.07146,null,null,null,null,null,null
Yemmiganur,Andhra Pradesh,15.6227,77.27007,null,null,null,null,null,null
Ghatkopar West,Maharashtra,19.08969,72.90896,null,null,null,null,null,null
Koparkhairane,Maharashtra,19.10937,73.00308,null,null,null,null,null,null
Guntupalli,Andhra Pradesh,16.58498,80.5525,null,null,null,null,null,null
Kundara,Kerala,8.88767,76.58743,null,null,null,null,null,null
Kichha,Uttarakhand,28.90934,79.51797,null,null,null,null,null,null
Kanjirappally,Kerala,9.56291,76.78336,null,null,null,null,null,null
Sachin,Gujarat,21.08304,72.88004,null,null,null,null,null,null
Benipur,Darbhanga,26.05977,86.15182,null,null,null,null,null,null
Kaminiyanagar,Gujarat,21.7373,72.14801,null,null,null,null,null,null
Pattambi,Kerala,10.80823,76.18701,null,null,null,null,null,null
Kashipur,Uttarakhand,29.20857,78.95342,null,null,null,null,null,null
Jwalapur,Uttarakhand,29.9318,78.13148,null,null,null,null,null,null
Anakapalle,Andhra Pradesh,17.6876,83.00188,null,null,null,null,null,null
Tadepalle,Andhra Pradesh,16.48278,80.6178,null,null,null,null,null,null
Balaghat,Madhya Pradesh,21.819,80.18456,null,null,6.5,95.1,18.3,60.6
Vita,Maharashtra,17.27844,74.53772,null,null,null,null,null,null
Bhandara,Maharashtra,20.16128,76.24403,null,null,null,null,null,null
Dabwali,"Sirsa, Haryana",29.96252,74.70718,null,null,null,null,null,null
Churachandpur,Manipur,24.34299,93.69278,null,null,8.7,72.9,9.6,32.0
Rajam,Andhra Pradesh,18.4615,83.65833,null,null,null,null,null,null
Ballabhgarh,Haryana,28.32839,77.33102,null,null,null,null,null,null
Kundara,Kollam,8.95875,76.68141,null,null,null,null,null,null
Konnagar,West Bengal,22.70246,88.34313,null,null,null,null,null,null
Adoor,Kerala,9.13583,76.72752,null,null,null,null,null,null
Chromepet,Tamil Nadu,12.95986,80.12975,null,null,null,null,null,null
Kovilpatti,Tamil Nadu,9.1659,77.85117,null,null,null,null,null,null
Rahata (shirdi),Maharashtra,19.76509,74.47574,null,null,null,null,null,null
Phulwarisharif,Bihar,25.58137,85.07323,null,null,null,null,null,null
Lunglei,Mizoram,22.88638,92.74422,null,null,15.4,82.7,5.4,34.9
Attapur,Hyderabad,17.37051,78.43709,null,null,null,null,null,null
Hojai,Assam,26.01587,92.86852,null,null,13.2,82.1,18.4,56.3
Manesar,"Gurugram, Haryana",28.35513,76.93246,null,null,null,null,null,null
Thakurpukur,West Bengal,22.46806,88.30926,null,null,null,null,null,null
Panskura,West Bengal,22.75404,88.37737,null,null,null,null,null,null
Ghaziabad,Ncr-delhi,null,null,null,null,null,null,null,null
Bhagta Bhai Ka,Punjab,30.483,75.10004,null,null,null,null,null,null
Surampatti,Tamil Nadu,11.33401,77.71838,null,null,null,null,null,null
Chandigarh,Ut,30.72624,76.77901,null,null,null,null,null,null
Kasba Narayangarh,West Bengal,22.17637,87.3873,null,null,null,null,null,null
Nalasopara (west),Palghar,19.42417,72.78188,null,null,null,null,null,null
Oachira,Kerala,9.12658,76.51663,null,null,null,null,null,null
Trichur,Kerala,10.52326,76.22147,null,null,null,null,null,null
Laxmipur,West Bengal,22.89139,88.41951,null,null,null,null,null,null
Nagercoil,Kanyakumari District,8.19683,77.43099,null,null,null,null,null,null
Mumbai,Mira Road,19.28248,72.87288,null,null,null,null,null,null
Sitamarhi,Bihar,26.5797,85.50935,null,null,17.0,64.4,8.5,61.7
Kamla Nagar,Delhi,28.6807,77.2072,null,null,null,null,null,null
Kalamassery,Kerala,10.06238,76.323,null,null,null,null,null,null
Cheranalloor Ernakulam,Kerala,10.02466,76.30775,null,null,null,null,null,null
Kathua,Jammu And Kashmir,32.3897,75.52298,null,null,null,null,null,null
Fateh Nagar,Delhi,28.63285,77.09819,null,null,null,null,null,null
Kozhencherry,Elanthoor,9.27424,76.71037,null,null,null,null,null,null
Gangtok,Sikkim,27.31937,88.60286,null,null,null,null,null,null
Nidadavolu,Andhra Pradesh,17.70953,83.31029,null,null,null,null,null,null
Safidon,Haryana,29.4054,76.66252,null,null,null,null,null,null
Bareilly,U.p.,28.3516,79.45766,null,null,null,null,null,null
Nidubrolu,Andhra Pradesh,16.06236,80.54988,null,null,null,null,null,null
Dwarahat,Uttarakhand,29.77456,79.42767,null,null,null,null,null,null
Patran,Punjab,31.63572,74.87926,null,null,null,null,null,null
Domjur,West Bengal,22.63287,88.22453,null,null,null,null,null,null
Bhadran,Gujarat,22.31117,73.19571,null,null,null,null,null,null
Gorantla,Andhra Pradesh,16.33577,80.43484,null,null,null,null,null,null
Malviya Nagar,South Delhi,28.53582,77.20905,null,null,null,null,null,null
Mahbubnagar,Telangana,16.75454,77.99995,null,null,null,null,null,null
Aurangabad,Bihar,24.7525,84.36907,null,null,7.2,77.5,10.2,60.5
Shivaji Nagar,Maharashtra,18.53027,73.8475,null,null,null,null,null,null
Sasaram,Bihar,26.10583,87.94788,null,null,null,null,null,null
Thiruvarur,Tamil Nadu,10.77803,79.63469,null,null,9.6,100.0,60.6,58.2
Challakere,Karnataka,14.30934,76.6409,null,null,null,null,null,null
Danapur,Bihar,25.61598,85.05099,null,null,null,null,null,null
Kayamkulam,Kerala,9.16702,76.50078,null,null,null,null,null,null
Kumbakonam,Thanjavur,10.95565,79.40591,null,null,null,null,null,null
Shankarpura,Delhi,28.76159,77.19002,null,null,null,null,null,null
Attoor,Tamil Nadu,8.3254,77.25801,null,null,null,null,null,null
New Katra,Uttar Pradesh,25.46878,81.85181,null,null,null,null,null,null
Kheri,Uttar Pradesh,27.94814,80.77773,null,null,16.1,82.8,14.2,53.0
Bundi,Rajasthan,25.43972,75.64542,null,null,7.1,95.3,10.5,55.9
Vyara,Gujarat,21.11681,73.40402,null,null,null,null,null,null
Wazirganj,Uttar Pradesh,28.21181,79.05331,null,null,null,null,null,null
Ulhasnagar No 3,Maharashtra,19.23164,73.1636,null,null,null,null,null,null
